pistol_fullauto_dw,4,5,0
ar_cqb,4,5,0
ar_damage,4,5,0
ar_marksman,4,5,0
ar_longburst,4,5,0
ar_fastburst,4,5,0
smg_burst,4,5,0
smg_capacity,4,5,0
smg_fastfire,4,5,0
lmg_cqb,4,5,0
lmg_slowfire,4,5,0
lmg_heavy,4,5,0
lmg_light,4,5,0
shotgun_fullauto,4,5,0
shotgun_semiauto,4,5,0
sniper_fastsemi,4,5,0
hero_annihilator_cpzm,0,0,0
hero_pineapplegun_cpzm,0,0,0
micromissile_launcher_cpzm,0,0,0
hero_annihilator_cpzm,0,0,1
hero_pineapplegun_cpzm,0,0,1
minigun_lotus_cpzm,0,0,1
micromissile_launcher_cpzm,0,0,1
pistol_fullauto,2,6,1
pistol_standard_dw,2,6,1
pistol_burst_dw,2,6,1
pistol_fullauto_dw,2,6,1
smg_standard,2,6,1
smg_burst,2,6,1
smg_fastfire,2,6,1
smg_longrange,2,6,1
smg_versatile,2,6,1
smg_capacity,2,6,1
ar_standard,2,6,1
ar_accurate,2,6,1
ar_cqb,2,6,1
ar_damage,2,6,1
ar_fastburst,2,6,1
ar_longburst,2,6,1
ar_marksman,2,6,1
lmg_cqb,2,6,1
lmg_heavy,2,6,1
lmg_light,2,6,1
lmg_slowfire,2,6,1
sniper_fastbolt,0,1,1
sniper_fastsemi,2,6,1
sniper_powerbolt,2,6,1
sniper_chargeshot,2,6,1
shotgun_fullauto,2,6,1
shotgun_precision,2,6,1
shotgun_pump,2,6,1
shotgun_semiauto,2,6,1